id,title,isbn,publish_date,price_value,price_currency
779,Laravel Handbook,978-100-000-077-9,2020-11-15,20.87,EUR
780,AWS Deep Dive,978-100-000-078-0,2020-02-01,94.81,EUR
781,Elixir for Beginners,978-100-000-078-1,2020-07-13,19.03,GBP
782,PHP Essentials,978-100-000-078-2,2021-12-03,25.35,GBP
783,React in 24 Hours,978-100-000-078-3,2021-10-06,42.70,USD
784,Erlang Deep Dive,978-100-000-078-4,2021-12-26,55.54,EUR
785,Kubernetes Crash Course,978-100-000-078-5,2022-06-10,31.79,EUR
786,React Mastery,978-100-000-078-6,2021-10-19,88.70,USD
787,Elixir in 24 Hours,978-100-000-078-7,2020-05-25,82.58,GBP
788,AWS in Action,978-100-000-078-8,2022-06-25,87.60,EUR
789,Docker Guide,978-100-000-078-9,2022-01-25,81.53,EUR
790,Java Demystified,978-100-000-079-0,2022-07-02,86.96,GBP
791,Rust Demystified,978-100-000-079-1,2021-10-09,87.54,USD
792,Spring Handbook,978-100-000-079-2,2020-08-10,35.76,USD
793,Django Handbook,978-100-000-079-3,2020-10-20,24.29,EUR
794,Docker Advanced,978-100-000-079-4,2020-04-11,80.52,EUR
795,Ruby Essentials,978-100-000-079-5,2021-12-29,20.20,USD
796,AWS Essentials,978-100-000-079-6,2020-05-08,71.08,USD
797,Rust in Action,978-100-000-079-7,2020-10-20,71.45,EUR
798,Go Guide,978-100-000-079-8,2021-09-16,48.95,USD
799,React Demystified,978-100-000-079-9,2022-03-10,88.52,USD
800,Cybersecurity Handbook,978-100-000-080-0,2020-05-26,72.38,GBP
801,Cybersecurity Handbook,978-100-000-080-1,2022-03-18,76.41,USD
802,Python Patterns,978-100-000-080-2,2021-07-04,70.34,GBP
803,Haskell Fundamentals,978-100-000-080-3,2022-04-14,81.83,EUR
804,C++ Deep Dive,978-100-000-080-4,2022-06-20,26.03,EUR
805,React Handbook,978-100-000-080-5,2021-05-18,73.17,USD
806,Scala Essentials,978-100-000-080-6,2020-10-28,91.45,GBP
807,Scala Guide,978-100-000-080-7,2020-10-06,26.40,EUR
808,Azure for Beginners,978-100-000-080-8,2022-08-18,98.51,GBP
809,PHP Guide,978-100-000-080-9,2020-10-01,39.19,GBP
810,C# Crash Course,978-100-000-081-0,2021-03-26,23.06,EUR
811,Swift Demystified,978-100-000-081-1,2022-07-04,63.52,EUR
812,Python Deep Dive,978-100-000-081-2,2021-12-11,36.16,USD
813,PHP Handbook,978-100-000-081-3,2022-08-07,11.59,EUR
814,Flutter in 24 Hours,978-100-000-081-4,2020-11-02,97.17,EUR
815,Azure Handbook,978-100-000-081-5,2020-09-19,26.43,GBP
816,Rust in 24 Hours,978-100-000-081-6,2021-07-28,41.66,EUR
817,Azure in Action,978-100-000-081-7,2021-04-30,23.74,GBP
818,AWS Advanced,978-100-000-081-8,2020-11-19,45.51,GBP
819,Elixir Patterns,978-100-000-081-9,2020-05-06,17.14,EUR
820,Haskell Crash Course,978-100-000-082-0,2021-07-24,28.99,GBP
821,Swift Cookbook,978-100-000-082-1,2020-03-31,83.22,USD
822,Swift Essentials,978-100-000-082-2,2020-10-23,43.49,EUR
823,DevOps in 24 Hours,978-100-000-082-3,2020-05-14,59.03,GBP
824,JavaScript Essentials,978-100-000-082-4,2022-01-24,33.63,EUR
825,Django Handbook,978-100-000-082-5,2020-03-29,68.71,USD
826,JavaScript Essentials,978-100-000-082-6,2020-09-04,76.19,GBP
827,Vue Crash Course,978-100-000-082-7,2020-11-11,28.25,USD
828,TypeScript Deep Dive,978-100-000-082-8,2020-08-11,36.18,USD
829,Ruby Advanced,978-100-000-082-9,2020-05-24,79.15,GBP
830,AWS Patterns,978-100-000-083-0,2020-08-10,30.94,USD
831,Blockchain Guide,978-100-000-083-1,2022-07-25,25.27,EUR
832,Kotlin Demystified,978-100-000-083-2,2021-08-14,37.36,USD
833,Angular in 24 Hours,978-100-000-083-3,2022-05-11,12.75,USD
834,React Native Demystified,978-100-000-083-4,2021-10-06,42.25,GBP
835,TypeScript Cookbook,978-100-000-083-5,2022-04-27,27.70,EUR
836,C++ Demystified,978-100-000-083-6,2020-01-21,23.61,EUR
837,Cybersecurity Patterns,978-100-000-083-7,2022-07-30,30.32,USD
838,Java Crash Course,978-100-000-083-8,2020-02-19,15.72,GBP
839,C++ Essentials,978-100-000-083-9,2020-10-28,68.16,EUR
840,Python Deep Dive,978-100-000-084-0,2020-09-08,38.63,USD
841,Laravel in 24 Hours,978-100-000-084-1,2021-04-18,49.10,USD
842,GCP Patterns,978-100-000-084-2,2022-01-22,23.88,EUR
843,Kubernetes Advanced,978-100-000-084-3,2021-04-07,77.17,EUR
844,JavaScript Guide,978-100-000-084-4,2020-04-25,26.50,USD
845,Scala Demystified,978-100-000-084-5,2021-06-01,51.66,EUR
846,GCP in 24 Hours,978-100-000-084-6,2020-05-10,66.29,EUR
847,C# Handbook,978-100-000-084-7,2020-09-15,83.62,EUR
848,Haskell Advanced,978-100-000-084-8,2020-08-13,73.39,EUR
849,DevOps Mastery,978-100-000-084-9,2022-03-31,34.32,GBP
850,Laravel in Action,978-100-000-085-0,2021-10-11,96.89,EUR
851,Azure in 24 Hours,978-100-000-085-1,2022-01-29,96.62,GBP
852,C++ for Beginners,978-100-000-085-2,2020-10-13,15.59,USD
853,React Native Mastery,978-100-000-085-3,2020-10-26,50.01,USD
854,Ruby Advanced,978-100-000-085-4,2020-11-04,19.58,GBP
855,Vue Mastery,978-100-000-085-5,2022-05-28,29.29,USD
856,Elixir Cookbook,978-100-000-085-6,2022-01-31,30.56,USD
857,Machine Learning Guide,978-100-000-085-7,2021-05-28,48.63,USD
858,React in 24 Hours,978-100-000-085-8,2020-04-13,35.56,GBP
859,Elixir for Beginners,978-100-000-085-9,2020-05-13,51.87,EUR
860,C# Handbook,978-100-000-086-0,2021-10-22,29.95,GBP
861,Laravel in Action,978-100-000-086-1,2020-09-21,78.79,GBP
862,Ruby Guide,978-100-000-086-2,2022-04-05,31.57,USD
863,Rust Advanced,978-100-000-086-3,2020-05-16,83.53,GBP
864,Erlang Cookbook,978-100-000-086-4,2021-08-01,81.55,USD
865,Laravel for Beginners,978-100-000-086-5,2020-01-09,70.19,GBP
866,Rust for Beginners,978-100-000-086-6,2021-08-05,32.82,EUR
867,Ruby Guide,978-100-000-086-7,2022-05-24,12.54,EUR
868,Laravel Fundamentals,978-100-000-086-8,2022-03-06,42.17,USD
869,Docker Fundamentals,978-100-000-086-9,2022-09-11,80.80,GBP
870,Haskell in Action,978-100-000-087-0,2021-01-05,15.85,EUR
871,Flutter in Action,978-100-000-087-1,2021-08-11,19.67,GBP
872,Vue in Action,978-100-000-087-2,2020-11-27,57.79,USD
873,Angular Demystified,978-100-000-087-3,2021-06-03,43.26,EUR
874,Flask for Beginners,978-100-000-087-4,2020-06-26,29.73,EUR
875,Rust in 24 Hours,978-100-000-087-5,2022-05-13,64.92,GBP
876,React Native Cookbook,978-100-000-087-6,2020-06-23,70.44,USD
877,Swift Deep Dive,978-100-000-087-7,2021-01-23,14.47,GBP
878,Go Essentials,978-100-000-087-8,2021-04-02,81.43,USD
879,Erlang Handbook,978-100-000-087-9,2022-09-20,23.78,EUR
880,Java Demystified,978-100-000-088-0,2021-08-27,30.33,GBP
881,Swift Crash Course,978-100-000-088-1,2020-03-30,65.16,GBP
882,Haskell Crash Course,978-100-000-088-2,2022-08-01,90.11,USD
883,Kubernetes in Action,978-100-000-088-3,2022-02-23,66.70,GBP
884,Kotlin Fundamentals,978-100-000-088-4,2020-08-17,52.09,GBP
885,TypeScript in Action,978-100-000-088-5,2021-08-17,10.09,GBP
886,JavaScript Advanced,978-100-000-088-6,2021-11-22,62.34,EUR
887,Laravel Mastery,978-100-000-088-7,2021-04-30,94.69,EUR
888,PHP Fundamentals,978-100-000-088-8,2022-03-15,20.37,USD
889,Ruby Demystified,978-100-000-088-9,2021-12-27,71.82,EUR
890,Blockchain in 24 Hours,978-100-000-089-0,2020-08-24,20.35,USD
891,Laravel Fundamentals,978-100-000-089-1,2021-02-14,96.69,EUR
892,Machine Learning Mastery,978-100-000-089-2,2020-03-28,84.00,USD
893,AWS Cookbook,978-100-000-089-3,2022-04-27,63.27,EUR
894,DevOps Advanced,978-100-000-089-4,2020-05-22,52.41,GBP
895,Azure for Beginners,978-100-000-089-5,2020-07-24,96.50,GBP
896,Rust Demystified,978-100-000-089-6,2022-06-18,92.88,USD
897,Spring in Action,978-100-000-089-7,2022-04-21,49.56,GBP
898,Docker Guide,978-100-000-089-8,2020-04-19,84.06,EUR
899,PHP Fundamentals,978-100-000-089-9,2021-07-21,12.01,EUR
900,Kotlin Patterns,978-100-000-090-0,2020-05-26,39.76,GBP
901,Docker Fundamentals,978-100-000-090-1,2022-06-25,12.37,GBP
902,Docker for Beginners,978-100-000-090-2,2022-08-06,36.69,GBP
903,JavaScript Deep Dive,978-100-000-090-3,2020-02-22,71.71,USD
904,Cybersecurity for Beginners,978-100-000-090-4,2021-11-21,18.22,GBP
905,Azure Fundamentals,978-100-000-090-5,2021-06-18,67.95,GBP
906,Blockchain Cookbook,978-100-000-090-6,2020-02-21,36.85,EUR
907,Docker Demystified,978-100-000-090-7,2020-03-23,17.25,EUR
908,AI Patterns,978-100-000-090-8,2020-11-21,99.24,USD
909,Spring for Beginners,978-100-000-090-9,2020-07-24,93.02,GBP
910,Java Crash Course,978-100-000-091-0,2021-08-09,41.11,USD
911,C# Demystified,978-100-000-091-1,2021-09-13,47.00,USD
912,Spring Cookbook,978-100-000-091-2,2022-09-03,95.14,USD
913,Java for Beginners,978-100-000-091-3,2020-08-12,39.90,USD
914,React Deep Dive,978-100-000-091-4,2022-07-27,13.23,GBP
915,DevOps in Action,978-100-000-091-5,2022-06-23,85.54,USD
916,JavaScript Cookbook,978-100-000-091-6,2021-11-08,18.55,EUR
917,React Crash Course,978-100-000-091-7,2020-05-26,55.14,EUR
918,Java for Beginners,978-100-000-091-8,2021-11-22,86.76,GBP
919,Flask Patterns,978-100-000-091-9,2020-02-26,68.00,USD
920,Laravel for Beginners,978-100-000-092-0,2021-01-02,69.73,GBP
921,Laravel Demystified,978-100-000-092-1,2022-08-03,23.58,GBP
922,Spring Crash Course,978-100-000-092-2,2020-02-06,94.86,USD
923,PHP Deep Dive,978-100-000-092-3,2022-08-13,89.42,USD
924,Blockchain Mastery,978-100-000-092-4,2020-11-21,88.44,USD
925,React Native in 24 Hours,978-100-000-092-5,2021-07-02,77.88,EUR
926,Haskell Advanced,978-100-000-092-6,2020-05-21,98.78,USD
927,Azure Guide,978-100-000-092-7,2020-10-09,92.50,EUR
928,Kotlin in Action,978-100-000-092-8,2021-02-14,15.17,GBP
929,TypeScript Advanced,978-100-000-092-9,2021-03-20,80.44,EUR
930,Vue Patterns,978-100-000-093-0,2022-05-09,64.62,EUR
931,Swift Advanced,978-100-000-093-1,2020-07-10,11.37,GBP
932,Django Cookbook,978-100-000-093-2,2020-02-27,81.54,EUR
933,Vue in Action,978-100-000-093-3,2022-02-21,65.09,EUR
934,Swift Handbook,978-100-000-093-4,2020-01-26,55.26,USD
935,Spring Advanced,978-100-000-093-5,2020-09-17,50.02,EUR
936,Rust Mastery,978-100-000-093-6,2021-04-18,96.74,GBP
937,Rust Essentials,978-100-000-093-7,2020-02-16,28.08,USD
938,Elixir Cookbook,978-100-000-093-8,2021-06-25,82.28,EUR
939,Swift for Beginners,978-100-000-093-9,2022-03-30,26.67,GBP
940,Laravel Guide,978-100-000-094-0,2022-07-09,88.04,USD
941,Angular Advanced,978-100-000-094-1,2020-08-16,31.36,GBP
942,React Native Patterns,978-100-000-094-2,2020-09-10,33.12,EUR
943,Docker for Beginners,978-100-000-094-3,2021-08-13,80.65,GBP
944,Django Mastery,978-100-000-094-4,2022-06-10,10.41,EUR
945,Django Guide,978-100-000-094-5,2020-09-16,15.38,GBP
946,Java Fundamentals,978-100-000-094-6,2022-06-17,41.43,GBP
947,GCP Guide,978-100-000-094-7,2020-11-28,54.01,EUR
948,GCP in 24 Hours,978-100-000-094-8,2021-10-19,67.07,EUR
949,Rust Cookbook,978-100-000-094-9,2022-05-27,27.40,USD
950,DevOps Mastery,978-100-000-095-0,2020-04-25,65.91,USD
951,AI Crash Course,978-100-000-095-1,2021-12-01,74.29,EUR
952,Laravel Deep Dive,978-100-000-095-2,2021-08-20,74.33,GBP
953,Erlang for Beginners,978-100-000-095-3,2020-02-19,84.01,USD
954,Rust Demystified,978-100-000-095-4,2020-01-09,38.33,EUR
955,Ruby Essentials,978-100-000-095-5,2022-02-28,93.46,GBP
956,Flutter Crash Course,978-100-000-095-6,2020-10-03,77.98,EUR
957,Haskell in Action,978-100-000-095-7,2021-04-17,96.41,USD
958,DevOps Patterns,978-100-000-095-8,2020-02-03,87.09,USD
959,TypeScript Guide,978-100-000-095-9,2021-10-03,32.86,USD
960,Scala Demystified,978-100-000-096-0,2021-03-28,36.26,EUR
961,Machine Learning Deep Dive,978-100-000-096-1,2021-12-27,99.19,GBP
962,Java Guide,978-100-000-096-2,2021-12-20,18.10,GBP
963,Cybersecurity Demystified,978-100-000-096-3,2020-11-08,27.22,GBP
964,Swift Fundamentals,978-100-000-096-4,2020-06-16,70.87,EUR
965,Python Crash Course,978-100-000-096-5,2021-11-25,97.90,USD
966,Flutter Guide,978-100-000-096-6,2022-09-07,36.62,EUR
967,Swift for Beginners,978-100-000-096-7,2021-04-20,42.99,EUR
968,Vue Guide,978-100-000-096-8,2021-03-31,68.67,USD
969,Go Mastery,978-100-000-096-9,2020-09-16,23.16,GBP
970,Azure Cookbook,978-100-000-097-0,2021-12-29,77.20,USD
971,GCP Advanced,978-100-000-097-1,2021-05-11,48.64,EUR
972,DevOps Essentials,978-100-000-097-2,2020-10-22,12.72,EUR
973,Haskell in 24 Hours,978-100-000-097-3,2022-08-16,35.37,GBP
974,Kotlin Crash Course,978-100-000-097-4,2021-05-25,49.76,USD
975,DevOps Fundamentals,978-100-000-097-5,2021-08-16,62.73,USD
976,Erlang Deep Dive,978-100-000-097-6,2021-09-20,21.23,EUR
977,Laravel in 24 Hours,978-100-000-097-7,2021-08-18,36.51,EUR
978,Docker Demystified,978-100-000-097-8,2022-01-15,50.86,EUR
979,Go Mastery,978-100-000-097-9,2022-03-31,24.19,USD
980,Ruby Demystified,978-100-000-098-0,2020-05-03,10.09,GBP
981,AWS for Beginners,978-100-000-098-1,2022-01-05,44.52,USD
982,JavaScript Handbook,978-100-000-098-2,2021-09-15,64.87,USD
983,Erlang Advanced,978-100-000-098-3,2021-03-31,15.44,GBP
984,GCP Guide,978-100-000-098-4,2020-01-31,96.22,USD
985,Go Crash Course,978-100-000-098-5,2021-08-07,54.25,USD
986,Rust Crash Course,978-100-000-098-6,2020-05-16,84.07,GBP
987,Elixir Guide,978-100-000-098-7,2021-05-08,75.48,EUR
988,Go Guide,978-100-000-098-8,2021-01-18,71.03,USD
989,C# for Beginners,978-100-000-098-9,2021-06-18,20.53,USD
990,Spring Essentials,978-100-000-099-0,2021-09-28,84.42,USD
991,PHP for Beginners,978-100-000-099-1,2020-03-16,35.75,GBP
992,Laravel Essentials,978-100-000-099-2,2020-01-20,30.39,GBP
993,DevOps Guide,978-100-000-099-3,2020-10-27,48.16,GBP
994,Docker Mastery,978-100-000-099-4,2021-10-19,55.70,GBP
995,Vue Advanced,978-100-000-099-5,2020-05-30,61.43,GBP
996,Ruby in Action,978-100-000-099-6,2021-07-16,86.34,USD
997,Blockchain Essentials,978-100-000-099-7,2022-02-22,48.15,GBP
998,Laravel Demystified,978-100-000-099-8,2022-07-14,30.76,EUR
999,Laravel Cookbook,978-100-000-099-9,2020-07-01,50.68,EUR
1000,React Native Demystified,978-100-000-100-0,2022-01-08,98.95,EUR
1001,Cybersecurity Essentials,978-100-000-100-1,2022-04-12,77.58,GBP
1002,C# Handbook,978-100-000-100-2,2020-06-11,42.08,GBP
1003,Python Advanced,978-100-000-100-3,2020-07-02,84.02,EUR
1004,Python Patterns,978-100-000-100-4,2022-05-08,77.43,EUR
1005,AI Deep Dive,978-100-000-100-5,2022-04-28,78.59,GBP
1006,Angular Patterns,978-100-000-100-6,2021-08-24,13.05,GBP
1007,Angular Handbook,978-100-000-100-7,2021-04-10,73.45,GBP
1008,React Native Patterns,978-100-000-100-8,2022-06-06,29.67,USD
1009,Java Demystified,978-100-000-100-9,2021-08-16,52.64,GBP
1010,Go for Beginners,978-100-000-101-0,2020-05-12,66.14,EUR
1011,PHP Cookbook,978-100-000-101-1,2020-03-16,69.10,EUR
1012,Cybersecurity Essentials,978-100-000-101-2,2021-05-11,53.96,GBP
1013,Angular in 24 Hours,978-100-000-101-3,2020-01-19,63.15,GBP
1014,JavaScript for Beginners,978-100-000-101-4,2021-12-23,81.09,EUR
1015,Ruby Fundamentals,978-100-000-101-5,2022-08-13,26.59,EUR
1016,Cybersecurity Fundamentals,978-100-000-101-6,2022-07-09,23.59,USD
1017,Flask Handbook,978-100-000-101-7,2022-04-15,61.39,EUR
1018,Go Guide,978-100-000-101-8,2022-08-12,64.37,USD
1019,Java Patterns,978-100-000-101-9,2020-09-14,62.28,EUR
1020,GCP in Action,978-100-000-102-0,2022-09-09,77.90,GBP
1021,TypeScript Advanced,978-100-000-102-1,2021-06-11,50.45,USD
1022,Java for Beginners,978-100-000-102-2,2022-08-24,49.76,EUR
1023,Data Science Deep Dive,978-100-000-102-3,2022-02-14,42.54,USD
1024,Vue Cookbook,978-100-000-102-4,2021-11-09,10.70,EUR
1025,Kubernetes Deep Dive,978-100-000-102-5,2022-07-13,59.18,USD
1026,Python for Beginners,978-100-000-102-6,2022-06-22,60.31,GBP
1027,Scala Cookbook,978-100-000-102-7,2022-03-26,76.78,USD
1028,Swift Mastery,978-100-000-102-8,2020-08-24,29.54,USD
1029,GCP Deep Dive,978-100-000-102-9,2021-03-01,91.31,GBP
1030,Spring Mastery,978-100-000-103-0,2020-07-31,14.09,USD
1031,Ruby Essentials,978-100-000-103-1,2022-09-04,76.33,USD
1032,C++ Patterns,978-100-000-103-2,2020-07-24,96.50,GBP
1033,Python Fundamentals,978-100-000-103-3,2021-11-14,31.98,EUR
1034,Vue in Action,978-100-000-103-4,2020-08-09,46.08,GBP
1035,Go Crash Course,978-100-000-103-5,2022-03-07,61.16,GBP
1036,Laravel Mastery,978-100-000-103-6,2021-09-18,18.02,GBP
1037,Go Crash Course,978-100-000-103-7,2022-07-29,10.74,GBP
1038,JavaScript Demystified,978-100-000-103-8,2021-03-11,18.58,EUR
1039,AI Essentials,978-100-000-103-9,2021-04-11,11.79,EUR
1040,Laravel Deep Dive,978-100-000-104-0,2021-02-15,44.57,EUR
1041,Haskell Crash Course,978-100-000-104-1,2020-03-22,10.17,GBP
1042,React in Action,978-100-000-104-2,2021-03-02,75.04,USD
1043,Laravel Guide,978-100-000-104-3,2020-10-14,29.80,USD
1044,Erlang Fundamentals,978-100-000-104-4,2022-08-20,81.05,USD
1045,GCP for Beginners,978-100-000-104-5,2021-03-10,58.79,EUR
1046,React Essentials,978-100-000-104-6,2021-11-09,91.21,GBP
1047,Angular Cookbook,978-100-000-104-7,2021-04-08,13.23,GBP
1048,PHP Advanced,978-100-000-104-8,2021-11-11,21.24,USD
1049,Flutter for Beginners,978-100-000-104-9,2022-04-18,27.06,USD
1050,Kubernetes Demystified,978-100-000-105-0,2020-02-28,17.16,USD
1051,Blockchain Deep Dive,978-100-000-105-1,2021-07-14,10.07,USD
1052,PHP in 24 Hours,978-100-000-105-2,2021-06-10,82.67,GBP
1053,Laravel Fundamentals,978-100-000-105-3,2021-02-24,16.17,EUR
1054,Vue Cookbook,978-100-000-105-4,2020-01-11,18.98,EUR
1055,Laravel Essentials,978-100-000-105-5,2022-01-06,95.12,GBP
1056,PHP Essentials,978-100-000-105-6,2022-09-15,65.00,EUR
1057,AWS Handbook,978-100-000-105-7,2021-10-17,95.25,USD
1058,Kotlin Mastery,978-100-000-105-8,2022-06-23,89.93,USD
1059,Scala Mastery,978-100-000-105-9,2021-07-24,28.33,EUR
1060,React Native Cookbook,978-100-000-106-0,2020-11-26,36.48,EUR
1061,Kotlin Patterns,978-100-000-106-1,2022-05-10,94.13,EUR
1062,TypeScript Advanced,978-100-000-106-2,2021-04-17,39.21,EUR
1063,Cybersecurity Patterns,978-100-000-106-3,2020-12-26,82.54,EUR
1064,AI in Action,978-100-000-106-4,2022-05-16,70.74,USD
1065,Flutter Essentials,978-100-000-106-5,2020-10-26,75.56,EUR
1066,React Native Demystified,978-100-000-106-6,2021-11-10,36.47,EUR
1067,Rust Mastery,978-100-000-106-7,2020-03-23,90.69,GBP
1068,C# for Beginners,978-100-000-106-8,2022-01-10,41.90,GBP
1069,TypeScript Demystified,978-100-000-106-9,2020-09-05,72.13,EUR
1070,Spring Demystified,978-100-000-107-0,2021-04-26,76.41,USD
1071,Machine Learning Deep Dive,978-100-000-107-1,2020-12-01,50.26,USD
1072,Elixir Advanced,978-100-000-107-2,2022-04-30,38.43,GBP
1073,Elixir Mastery,978-100-000-107-3,2020-08-26,38.02,GBP
1074,Django Patterns,978-100-000-107-4,2021-02-20,82.76,EUR
1075,Swift Mastery,978-100-000-107-5,2021-09-19,91.15,GBP
1076,React in 24 Hours,978-100-000-107-6,2022-07-28,56.21,USD
1077,JavaScript Crash Course,978-100-000-107-7,2022-01-31,53.28,EUR
1078,Angular in 24 Hours,978-100-000-107-8,2021-12-15,43.46,USD
1079,JavaScript Deep Dive,978-100-000-107-9,2021-03-21,56.28,EUR
1080,Laravel for Beginners,978-100-000-108-0,2020-11-29,80.98,EUR
1081,Python Mastery,978-100-000-108-1,2020-12-14,37.85,EUR
1082,Flask for Beginners,978-100-000-108-2,2020-02-04,93.34,GBP
1083,Elixir in 24 Hours,978-100-000-108-3,2021-06-04,84.37,EUR
1084,React Essentials,978-100-000-108-4,2021-04-19,23.04,USD
1085,React Mastery,978-100-000-108-5,2022-08-23,25.75,EUR
1086,AWS Handbook,978-100-000-108-6,2021-02-24,62.81,GBP
1087,Flask in 24 Hours,978-100-000-108-7,2020-12-12,14.82,USD
1088,Flask for Beginners,978-100-000-108-8,2022-01-21,86.22,EUR
1089,Python Demystified,978-100-000-108-9,2021-05-15,62.20,GBP
1090,GCP Crash Course,978-100-000-109-0,2022-08-30,94.85,EUR
1091,TypeScript Crash Course,978-100-000-109-1,2020-03-29,88.79,USD
1092,Blockchain Guide,978-100-000-109-2,2021-09-30,84.76,USD
1093,Cybersecurity Advanced,978-100-000-109-3,2021-02-25,22.26,USD
1094,Blockchain for Beginners,978-100-000-109-4,2021-06-22,43.24,GBP
1095,Spring Deep Dive,978-100-000-109-5,2021-04-15,57.35,USD
1096,Angular Advanced,978-100-000-109-6,2022-06-09,85.79,GBP
1097,Flask in Action,978-100-000-109-7,2021-03-05,45.01,GBP
1098,React Native Fundamentals,978-100-000-109-8,2022-09-07,42.41,EUR
1099,Cybersecurity in Action,978-100-000-109-9,2021-10-10,43.61,GBP
1100,GCP Handbook,978-100-000-110-0,2021-10-17,23.61,GBP
1101,React Native in Action,978-100-000-110-1,2020-02-19,18.86,GBP
1102,Angular Guide,978-100-000-110-2,2022-05-07,27.94,USD
1103,Data Science for Beginners,978-100-000-110-3,2021-11-09,78.45,USD
1104,JavaScript Advanced,978-100-000-110-4,2022-07-05,92.94,USD
1105,Docker Fundamentals,978-100-000-110-5,2022-03-04,27.00,GBP
1106,AWS Advanced,978-100-000-110-6,2022-02-08,68.28,USD
1107,C++ Fundamentals,978-100-000-110-7,2021-10-01,31.54,EUR
1108,Python Mastery,978-100-000-110-8,2022-01-21,36.59,USD
1109,C++ Cookbook,978-100-000-110-9,2021-11-13,21.88,EUR
1110,AI in Action,978-100-000-111-0,2020-09-09,41.60,EUR
1111,Blockchain Deep Dive,978-100-000-111-1,2022-07-25,85.36,GBP
1112,Ruby Cookbook,978-100-000-111-2,2022-09-08,45.02,GBP
1113,React Native Essentials,978-100-000-111-3,2022-07-18,28.78,GBP
1114,React Guide,978-100-000-111-4,2021-05-18,53.87,EUR
1115,C++ Cookbook,978-100-000-111-5,2020-10-13,98.07,USD
1116,Kotlin for Beginners,978-100-000-111-6,2021-09-18,47.27,USD
1117,Vue Demystified,978-100-000-111-7,2021-10-11,37.95,GBP
1118,DevOps Advanced,978-100-000-111-8,2020-07-31,80.76,GBP
1119,React Native Advanced,978-100-000-111-9,2021-02-05,25.26,GBP
1120,Azure in 24 Hours,978-100-000-112-0,2022-07-06,61.48,USD
1121,Ruby Advanced,978-100-000-112-1,2020-05-20,64.83,USD
1122,Flutter Fundamentals,978-100-000-112-2,2022-02-23,91.08,GBP
1123,AI Fundamentals,978-100-000-112-3,2021-09-28,72.92,USD
1124,PHP Cookbook,978-100-000-112-4,2020-02-23,12.15,USD
1125,Ruby Crash Course,978-100-000-112-5,2021-02-24,50.50,USD
1126,Erlang Deep Dive,978-100-000-112-6,2021-07-27,79.27,USD
1127,TypeScript Mastery,978-100-000-112-7,2020-04-09,34.56,USD
1128,Rust Advanced,978-100-000-112-8,2020-03-16,53.09,EUR
1129,Cybersecurity Deep Dive,978-100-000-112-9,2020-05-16,79.79,EUR
1130,Kubernetes in 24 Hours,978-100-000-113-0,2022-03-17,39.86,EUR
1131,AWS in 24 Hours,978-100-000-113-1,2022-07-09,38.71,EUR
1132,Data Science Deep Dive,978-100-000-113-2,2021-01-04,51.02,GBP
1133,JavaScript Advanced,978-100-000-113-3,2021-12-09,48.72,EUR
1134,React in 24 Hours,978-100-000-113-4,2021-01-08,55.26,GBP
1135,Ruby Demystified,978-100-000-113-5,2021-09-19,42.32,GBP
1136,Vue Handbook,978-100-000-113-6,2020-09-16,60.46,EUR
1137,Java Mastery,978-100-000-113-7,2022-04-08,45.79,USD
1138,Ruby Essentials,978-100-000-113-8,2020-01-30,62.16,GBP
1139,Azure Fundamentals,978-100-000-113-9,2021-02-12,43.19,EUR
1140,Java Cookbook,978-100-000-114-0,2020-05-16,27.92,EUR
1141,Scala Demystified,978-100-000-114-1,2020-01-25,32.26,EUR
1142,AI for Beginners,978-100-000-114-2,2022-08-02,95.57,USD
1143,JavaScript in 24 Hours,978-100-000-114-3,2020-04-14,62.58,GBP
1144,GCP Mastery,978-100-000-114-4,2020-04-29,32.62,EUR
1145,Kubernetes Mastery,978-100-000-114-5,2021-01-04,67.64,EUR
1146,Vue in Action,978-100-000-114-6,2020-08-16,51.04,USD
1147,C++ in 24 Hours,978-100-000-114-7,2021-11-26,28.87,EUR
1148,Machine Learning Mastery,978-100-000-114-8,2021-11-09,20.53,USD
1149,PHP Patterns,978-100-000-114-9,2020-12-23,76.73,EUR
1150,Flutter Guide,978-100-000-115-0,2020-06-15,10.54,GBP
1151,Machine Learning Guide,978-100-000-115-1,2021-08-30,46.27,USD
1152,GCP Patterns,978-100-000-115-2,2022-03-16,64.36,USD
1153,Swift Handbook,978-100-000-115-3,2020-07-03,88.59,EUR
1154,DevOps Advanced,978-100-000-115-4,2022-06-28,31.18,EUR
1155,Vue Guide,978-100-000-115-5,2021-07-06,82.49,USD
1156,Erlang Mastery,978-100-000-115-6,2022-03-30,27.51,EUR
1157,Blockchain in 24 Hours,978-100-000-115-7,2020-10-02,68.32,GBP
1158,Java Cookbook,978-100-000-115-8,2021-04-30,56.13,GBP
1159,Python Essentials,978-100-000-115-9,2020-06-14,72.10,EUR
1160,DevOps in Action,978-100-000-116-0,2021-05-02,25.76,GBP
1161,Angular Fundamentals,978-100-000-116-1,2022-07-17,65.10,USD
1162,Go Crash Course,978-100-000-116-2,2021-10-08,75.04,USD
1163,DevOps Demystified,978-100-000-116-3,2021-02-23,38.35,USD
1164,Erlang in 24 Hours,978-100-000-116-4,2021-11-30,40.47,EUR
